Section,Item,What it is / purpose,When needed,Example,Your value,Provided by,Notes
How to use this sheet,Read first,One combined prep sheet for enabling a vSphere Supervisor on a VCF workload domain with VCF Networking / VPC + Centralized Transit Gateway. Fill the 'Your value' column. Rows are grouped by Section; the last two sections are an ordered task list and a firewall matrix (its columns are re-labelled in a note at that section).,Day-N (if in scope),,,,Companion to docs/10-supervisor-enablement.md - each Section maps to a section there.
How to use this sheet,Scope of this file,This is the VCF 9.0 edition. Activation is per workload domain and Day-N - nothing here happens at bring-up. Several inputs are fixed for the life of the Supervisor (marked IRREVERSIBLE).,Day-N (if in scope),,,,A separate 9.0 / 9.1 edition exists - use the one matching the target build.
How to use this sheet,Credit,"Created by Albin Qorri (ITQ) as the 'Config Sheet - vSphere Supervisor'. This edition reconciles it with docs/10-supervisor-enablement.md and adds the pre-flight, load-balancer and VKS planning inputs.",Day-N (if in scope),,,,Maintained in the VCF9-DeploymentPlanning repo (web/public/templates/).
Pre-flight - platform,Workload domain health,Target WLD is healthy in VCF Operations / SDDC Manager with no in-flight LCM tasks.,Day-N (if in scope),"Healthy, no running tasks",,Platform,docs/10 section 2.
Pre-flight - platform,DRS mode,"vSphere DRS enabled and set to Fully Automated on every target cluster. Documented requirement; the failure symptom is not documented, so treat as absolute.",Day-N (if in scope),Fully Automated,,Platform,"docs/10 section 2 / 'traps that are requirements, not symptoms'."
Pre-flight - platform,vSphere HA,vSphere HA enabled on every target cluster.,Day-N (if in scope),Enabled,,Platform,
Pre-flight - platform,Host count per cluster,"With vSAN: 3 min, 4 for HA. Without vSAN: 3 (safe production baseline) - technical min is 1, zones page gives 2 for NFS/FC. Test/POC: 1 (2 with vSAN).",Day-N (if in scope),"4 (vSAN, HA)",,Platform / Architect,docs/10 section 2 - two Broadcom pages give different numbers.
Pre-flight - platform,Host size,8 CPU / 64 GB RAM minimum per host.,Day-N (if in scope),>= 8 vCPU / 64 GB,,Platform,
Pre-flight - platform,Host names lowercase,"All ESX host names must be lowercase or Supervisor activation might fail. Cheap to check, ugly to diagnose.",Day-N (if in scope),all lowercase,,Platform,docs/10 section 2 (documented).
Pre-flight - platform,NTP / DNS,NTP configured on all ESX hosts AND vCenter; DNS reachable; no time drift.,Day-N (if in scope),"in sync, < 1 s skew",,Network / Platform,
Pre-flight - platform,IP family,IPv6 is not supported - plan IPv4 throughout.,Day-N (if in scope),IPv4,,Architect,docs/10 section 2 (documented).
Pre-flight - vSphere Zones,Single-zone vs three-zone,"DECISION, IRREVERSIBLE. A single-zone Supervisor cannot be converted to multi-zone after enablement. A stretched vSAN cluster still gives a SINGLE-zone Supervisor (vSphere HA across sites, no Kubernetes zone awareness).",Day-N (if in scope),Single zone,,Architect,docs/10 section 1.3. Decide before activation.
Pre-flight - vSphere Zones,Zones created in vCenter,"vSphere Zones are objects you create in vCenter (vCenter > vSphere Zones > Add New vSphere Zone) BEFORE activation - the wizard only selects them. One cluster per zone; three zones for multi-zone, one compatible cluster for single-zone.",Day-N (if in scope),sfo-w01-zn01 (cl01),,Architect,Skip this and the wizard's zone picker is empty with no way forward.
Pre-flight - vSphere Zones,Same vDS per zone,All clusters in a zone must be on the same vSphere Distributed Switch.,Day-N (if in scope),sfo-w01-vds-001,,Network / Architect,
Pre-flight - vSphere Zones,Inter-zone latency (multi-zone),<= 100 ms between clusters in a zone.,Day-N (if in scope),< 100 ms,,Network,docs/10 section 1.3 (documented).
Pre-flight - vSphere Zones,Zone 1 name / cluster,,Day-N (if in scope),sfo-w01-zn01 / sfo-w01-cl01,,Architect,
Pre-flight - vSphere Zones,Zone 2 name / cluster,Three-zone only.,Day-N (if in scope),sfo-w01-zn02 / sfo-w01-cl02,,Architect,
Pre-flight - vSphere Zones,Zone 3 name / cluster,Three-zone only.,Day-N (if in scope),sfo-w01-zn03 / sfo-w01-cl03,,Architect,
VPC networking - Edge cluster,Edge cluster name,,Day-N (if in scope),sfo-w01-ecl01,,Architect,docs/10 section 3.1. The guided VPC wizard can build this in one flow.
VPC networking - Edge cluster,Edge form factor,"Large. Documented minimum for a Supervisor Edge cluster (2-node cluster of Large form factor, Active/Standby). Not Medium.",Day-N (if in scope),Large,,Architect,9.0 and 9.1 requirements pages both state Large.
VPC networking - Edge cluster,Edge node count,Minimum two.,Day-N (if in scope),2,,Architect,
VPC networking - Edge cluster,MTU,ESX host VTEP and Edge VTEP MTU greater than 1600 (documented). Use 1700 if Avi is the load balancer (Avi requirements page).,Day-N (if in scope),1700,,Network,docs/10 section 8 - the docs contradict each other; 1700 satisfies both.
VPC networking - Edge cluster,Per Edge node - name (FQDN),,Day-N (if in scope),sfo-w01-ecl01-en01 / -en02,,Architect,Repeat the node block for each Edge node.
