Source zone,Destination,Port(s),Protocol,Direction,Purpose,When needed (Bring-up / Bring-up (if in scope) / Day-N / Day-N (if in scope) - see prerequisites.md),Status (open / pending),Notes
Management subnets,DNS servers,53,TCP/UDP,Outbound,Forward + reverse name resolution,Bring-up,,Bring-up blocker if missing - A and PTR must both resolve
Management subnets,NTP servers,123,UDP,Outbound,Time sync,Bring-up,,Bring-up blocker if missing - appliances must be in sync
Management subnets,AD domain controllers,"88, 389, 636, 3268",TCP/UDP,Outbound,Kerberos / LDAP / LDAPS / Global Catalog,Bring-up,,AD must be reachable at the prereq gate; fleet SSO via the Identity Broker is configured Day-N
Management subnets,Software depot,443,TCP,Outbound,Binary / bundle download,Bring-up,,Online (Broadcom) or local depot
"VCF Installer, SDDC Manager, vCenter, VCF Operations, Cloud Proxy, VCF Download Tool","Broadcom public URLs: dl / eapi / vvs / projects.packages .broadcom.com; vcf.broadcom.com; vsanhealth / vcsa .vmware.com; auth.esp.vmware.com",443,TCP,Outbound,Online depot / licensing / CEIP / UMDS,Bring-up (if in scope),,Only if anything is online. Allowlist on the egress proxy if used; air-gapped: only the Download Tool host needs these
Jump / bastion host,"vCenter, SDDC Manager, NSX Manager, VCF Operations",443,TCP,Inbound to mgmt,Admin UIs / APIs,Bring-up,,The deployment is driven from here
Jump / bastion host,"ESXi hosts, appliances",22,TCP,Inbound to mgmt,SSH (as needed),Bring-up,,
NSX Edge nodes,ToR switches,179,TCP,Bidirectional,BGP peering,Bring-up (if in scope),,Centralized connectivity only. Have the fabric ready at bring-up; the Edges themselves deploy right after
NSX Edge nodes,ToR switches,"3784, 3785",UDP,Bidirectional,BFD (if enabled),Bring-up (if in scope),,Centralized connectivity only
ESX-Management (AZ1 & AZ2),Witness site,vSAN witness traffic,TCP,Bidirectional,vSAN witness (WTS) - rides ESX-Management VMK,Bring-up (if in scope),,Stretched only; route to 3rd site. Must be in place before the stretch step
AZ1 networks,AZ2 networks,vSAN / vMotion / overlay,-,Bidirectional,Stretched cluster data + overlay,Bring-up (if in scope),,Stretched only; routed between AZs
Management subnets,Certificate Authority,443,TCP,Outbound,Certificate enrollment / signing,Day-N,,CA-signed replacement is Day-2; the prereq gate still checks reachability before bring-up. Plus CA-specific RPC for Microsoft CA
Management subnets,SMTP relay,25 / 587,TCP,Outbound,VCF Operations alert notifications,Day-N,,Configured in VCF Operations after bring-up
Management subnets + fleet components,SFTP backup target,22,TCP,Outbound,File-based backups,Day-N,,Configured in VCF Operations right after bring-up (E6 6.3)
Cloud Proxy / collected endpoints,VCF Operations,"443, 4505, 4506",TCP,Bidirectional,Operations collection; Telegraf monitoring,Bring-up,,9.1 - Cloud Proxy is deployed at bring-up
Management components,vCenter (syslog),1514,TCP,Outbound,Syslog (TLS),Day-N,,9.1 change: 514 blocked - use 1514
Fleet appliances,VCF Operations / License Server,443,TCP,Bidirectional,Fleet management / licensing,Bring-up,,License Server FQDN/IP outside services-runtime range
"Jump host, VCF Operations",Avi Controller cluster + nodes,443,TCP,Outbound,Avi controller UI / API,Day-N (if in scope),,Only if Avi is in scope - see 07-firewall-ports.md
Avi Service Engines,Avi Controllers,8443,TCP,Outbound,SE to controller secure channel,Day-N (if in scope),,Only if Avi is in scope - full Avi matrix in 07-firewall-ports.md
